,name,tradeScale,subName,brand,datatype,size,dateQty,price
212,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,226000
213,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,220000
214,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,218000
215,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,220000
216,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,247000
217,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,226000
218,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,229000
219,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,225000
220,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,228000
221,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,220000
222,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,217000
223,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,239000
224,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,223000
225,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,223000
226,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,250000
227,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,220000
228,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,256000
229,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,255000
230,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,224000
231,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,225000
232,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
233,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,223000
234,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,241000
235,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,221000
236,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,310,22/04/23,220000
237,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,245,22/04/23,305000
238,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,225000
239,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,228000
240,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,221000
241,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
